ItemPurchasedText,Item-item Purchased:
ItemQuantityExceededLeadthru,Anda telah melebihi kuantiti yang dibenarkan untuk item ini. Sila asingkannya dan teruskan.
ItemQuantityExceededTitle,Item Quantity Exceeded
Items,{0} item-item
ItemsAddedFormat,{0} item-item yang ditambah ke cart.
ItemsForgottenTitle,Weight remains \non bag scale.
ItemText,Item-item:
KeyInBirthDateButtonText,Masukkan date
KeyInCodeButtonText,Masukkan \nKod
KeyInCodeLeadthru,"Masukkan kod item dan sentuh ""OK""."
KeyInCodeTitle,Masukkan Kod
KeyInPriceLeadthru,Masukkan price for: %d %s
KeyInQuantityLeadthru,Masukkan kuantiti for: %s
KeySwitchOperatorID,Keylock
LaneClosedMessage,Lorong Ditutup
LaneNumberText,Lorong: %d
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tQty %s @ %s/each\t%s
LaneReceiptItemType4,%s\t%s\tQty %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss @ %s/%s\t%s
LaneReceiptItemType7,%s
LaneStatusLeadthru,Select function.
LaneStatusTitle,Lorong Status
LaneText,Lorong
Language,Bahasa
LaunchPadNet_BackSpaceButtonText,Backspace
LaunchPadNet_ClearButtonText,Buang
LaunchPadNet_EnterButtonText,Masukkan
LaunchPadNet_EnterIDFpLeadthru,"Key in your user ID and touch ""Masukkan"", or place your finger on the fingerprint reader to log in."
LaunchPadNet_EnterIDLeadthru,Masukkan ID using keypad below:
LaunchPadNet_EnterPasswordLeadthru,Masukkan password using keypad below:
LaunchPadNet_GoBackButtonText,Kembali
LaunchPadNet_LoggingInLeadthru,Logging in...Sila tunggu
LaunchPadNet_OperatorIDText,Operator ID: 
LaunchPadNet_ReEnterIDFpLeadthru,Invalid login. Please login again using the keypad or your fingerprint.
LaunchPadNet_ReEnterIDLeadthru,Incorrect ID or password. Please re-enter using keypad below.
LaunchPadNet_ReturnToShoppingButtonText,Return
LaunchPadNet_ShiftButtonText,Shift
LaunchPadNet_SignedOffButtonText,Signed Off
LaunchPadNet_SignOffButtonText,Sign Off
LaunchPadNet_SignOnButtonText,Sign On
LaunchPadNet_SpaceButtonText,Space
LegalCaptionText,"LEGAL CAPTION\nThis system is for the use of authorized personnel only. By logging onto this system, you are subject to the terms and conditions of all Information Security policies and standards. Use by unauthorized individuals or for unauthorized purposes is a violation of federal and/or state law. The company reserves the right to take any necessary actions to protect authorized users, intellectual property and other information assets. Individuals using this system are subject to having all of their activities on this system monitored. Anyone using this system expressly consents to such monitoring and is advised that if such monitoring reveals possible evidence of criminal activity, system personnel may provide the evidence of such monitoring to law enforcement officials.\n        "
LoadingText,Loading
LoggingInLeadthru,Logging in...Sila tunggu
MainButtonText,Main
MinimumAgeText,Years old minimum.
MinMaxFastLaneBtnPrimaryShowConfirmation,"To minimize SelfServ Checkout, touch the ""Minimize SelfServ Checkout"" button."
MinMaxFastLaneBtnPrimaryTxt,Minimize SelfServ Checkout
MinMaxFastLaneBtnSecondaryShowConfirmation,"To maximize SelfServ Checkout, touch the ""Maximize SelfServ Checkout"" button."
MinMaxFastLaneBtnSecondaryTxt,Maximize SelfServ Checkout
MinMaxRAPBtnPrimaryShowConfirmation,"To minimize RAP, touch the ""Minimize RAP"" button."
MinMaxRAPBtnPrimaryTxt,Minimize RAP
MinMaxRAPBtnSecondaryShowConfirmation,"To maximize RAP, touch the ""Maximize RAP"" button."
MinMaxRAPBtnSecondaryTxt,Maximize RAP
MultimediaTrainingText,Multimedia Training
MultiPackItemLeadthru,"If item is a multi-pack, touch ""Assist Mode"" and void it, then scan multi-pack barcode."
MultiPackItemTitle,Check for multi-pack
NCRCorp,NCR Corp
NewWeightItemLeadthru,"Verify item weight and touch ""Luluskan & Update Weight"", or touch ""Approve/No Kemas Kini""."
NewWeightItemTitle,No record of item weight.
No,Tidak
NoButtonText,Tidak
NoInterventionLeadthru,Tidak Intervention is currently required.
NoKeep,"Tidak, simpan."
NoneText,Tiada
NoReturn,"Tidak, kembali ke transaksi."
NoSaleLaneButtonText,No Sale
NotConnectedText,Not connected.
NoText,Tidak
NotFoundLaneButtonText,Not Found
OffLineLaneButtonText,Offline
OffLineLeadthru,The Lane is currently offline and the system is attempting to automatically reconnect.
OK,OK
OKButtonText,OK
OperatorIDText,Operator ID: 
OperatorPasswordStateInvalidPasswordWithFPTitle,Kegagalan Log Masuk Cap Jari
OperatorRegistrationUtility,Operator Registration Utility
Or,atau
OtherPayment,Bayaran Lain
OtherPaymentMethod,Kaedah pembayaran lain
OtherPaymentSelectedText,Bayaran lain diminta
OtherPaymentText,"""Bayaran Lain"" Diminta"
OutOfSyncNeedAssistLeadthru,"POS is out-of-sync, please go to Assist Mode to resynchronize."
OutOfSyncNeedAssistTitle,ASSIST
OutOfSyncStopLeadthru,"POS server is down or out-of-sync, please shutdown the terminal using switch."
OutOfSyncStopTitle,REBOOT
OwnBag,Beg Sendiri
OwnBagMessage,Sila letakkan beg-beg anda ke atas skala.
PageIndicatorLabelFormat,Halaman {0} daripada {1}
Paid,Telah Dibayar:{0}
PayAnotherWay,Bayar dengan kaedah lain
PendingSuspendText,Pending Suspend
PickingUpItemsTimerExpiredTitle,Item tidak dikembalikan ke kawasan pembungkusan.
PicklistConfirm,Are you sure you want to start the Picklist Editor?
PickListEditor,Pick List Editor
PointsEarned,Mata Diperolehi
POSMessageText,POS Message:
PrintReceipt,Cetak Resit
PrintReportButtonText,Laporan Pencetakan
Proceed,Teruskan
ProcessingLeadthru,Memproses...Sila tunggu.
ProcessingTitle,Memproses...
ProfileManagerConfirm,Are you sure you want to start the Profile Manager?
ProfileManagerFLConfirm,Are you sure you want to stop SelfServ Checkout and run Profile Manager?
ProfileManagerRAPConfirm,Are you sure you want to stop RAP and run Profile Manager?
PurchaseCrateTitle,Beli Troli
QuantityButtonText,Kuantiti
QuantityLaneButtonText,Kuantiti
RapConfigureBtnPrimaryTxt,RAP Configure
RAPTitle,NCR SelfServ Checkout\nRemote Approval Station
RebootConfirm,Are you sure you want to reboot the entire system?
RebootSystemBtnPrimaryTxt,Reboot Entire System
RebootSystemButtonText,Reboot Entire System
RecalledItemTitle,Item Dipanggil Semula
ReceiptText,Resit:
ReEnterIDFpLeadthru,Invalid login. Please login again using the keypad or your fingerprint.
ReEnterIDLeadthru,Incorrect ID or password. Please re-enter using keypad below.
Refunded,Dibayar Balik:
Remove,Keluarkan
RemovedItem,Saya telah mengeluarkan item
RemovedItemTitle,Amaran Pembungkusan
ReportingButtonText,Reporting
RequestSuspendButtonText,Request Suspend
RestrictedItem,Item Dihadkan
RestrictedItemsNotApprovedTitle,Item-item Dihadkan - Not Luluskan
RestrictedItemText,Item-item Dihadkan:
RestrictedItemTitle,Item Dihadkan
ReturnToMainButtonText,Return to Main
ReturnToScan,Kembali
ReturnToShoppingButtonText,Return to Shopping Mode
RSMLEConfirm,Are you sure you want to start the Retail Systems Manager LE?
RSMLEPrimaryTxt,Retail Systems Manager LE
RunADDConfirm,Are you sure you want to run Automatic Device Detection on the next reboot?
RunADDTxt,Run ADD on Next Reboot
SafetyCoverOpenLeadthru,Remove all items from belt and close safety cover.
ScaleBroken,"Keluarkan item dari penimbang dan tekan butang \n""Scale Zero"" pada pengimbas."
ScaleBrokenLeadthru,"Keluarkan item dari penimbang dan tekan butang ""Scale Zero"" pada pengimbas."
ScaleBrokenTitle,Set Semula Penimbang
ScanAndBag,"Imbas, cari, atau masukkan kod item untuk bermula."
ScanCoupon,Imbas Kupon-kupon
ScanGiftCard,Imbaskan Kad Hadiah
ScanNextItem,Sila imbaskan item yang seterusnya.
ScanVoucher,Imbas Baucar
SearchKeyInItem,Cari atau Masukkan Item
SearchResultsFor,"Hasil Carian untuk ""{0}"""
SearchWatermark,Masukkan Nama atau Kod Item
SearchItemNameWatermark,Enter Item Name
SecBagAreaBackupTitle,Item Sandaran
SecUnExpectedIncreaseTitle,Amaran Pembungkusan
SecurityDisableButtonOff,Turn Off
SecurityDisableButtonOn,Turn On
SecurityDisableStatusTextOff,Bagging Security is off
SecurityDisableStatusTextOn,Bagging Security is on
SecurityDisableText,Security Disabled
SecurityLaneButtonText,Keselamatan
SecurityLeadthru,"Monitor customer transaction for security dan sentuh ""Buang Keselamatan""."
SecurityLogText,Keselamatan Log:
SecurityViolationNumText,Keselamatan Violations:
SecurityViolationText,Keselamatan Violation
SelectCashBack,Pilih Amaun Wang Balik
SelectContainerLeadthru,"Pilih Bekas Daripada Senarai dan sentuh ""Masukkan""."
SelectContainerTitle,Pilih Bekas
SelectLanguage,Pilih satu Bahasa
SelectPaymentType,Pilih Jenis Bayaran
SellBags,Berapakah beg plastik yang anda telah menggunakan? Masukkan 0 jika anda tidak menggunakannya.
SetAllItemsAsideMessage,Seluruh pembelian dibatalkan.\n\nAsingkan semua item.
SetAllItemsAsideTitle,Ketepikan Item
ShiftButtonText,Shift
ShutdownConfirm,Are you sure you want to shutdown the entire system?
ShutdownSystemBtnPrimaryTxt,Shut Down Entire System
ShutDownSystemButtonText,Shut Down Entire System
ShuttingDown,Menutup
SignAgainButtonText,Sign Again
SignatureAndNameText,Tandatangan: %s
SignatureApprovalText,Tandatangan Approval
SignatureText,Tandatangan:
SignBelow,Tandatangan di bawah.
SignChargeTitle,Sign Resit
SignedOffButtonText,Signed Off
SignNeeded,Tandatangan Diperlukan
SignOffButtonText,Sign Off
SignOnButtonText,Sign On
SignOnTitle,NCR SelfServ Checkout Log In
SignSignature,Tandatangani pad tandatangan.
SingleItemAddedFormat,{0} item yang ditambahkan ke cart.
SkipBagging,Langkau Pembungkusan
SkipBaggingBtnThresholdLeadthru,"Check items at lane and touch ""Buang Keselamatan""."
SmCouponItemsLeadthru,Check Kupon Yang Digunakan
SmCouponItemsTitle,Luluskan Kupon Yang Digunakan
SmEnterBirthdateLeadthru,"Key in customer's birth date"
SmEnterBirthdateTitle,Item-item Dihadkan
SMLogInReceiptText,Logged into Store Mode
SMLogOutReceiptText,Logged out of Store Mode
SmRestrictedItemsLeadthru,Select desired function.
SmRestrictedItemsTitle,Item-item Dihadkan
SmRunReportsTitle,Kandungan Laporan
SMText,Store Mode
SmVisualItemsLeadthru,Approve Visual Validation Items
SmVisualItemsTitle,Pengesahan Visual
SmVoidAndRemoveItemLeadthru,Please remove the cancelled item from the bagging area.
Space,Space
SpaceButtonText,Ruang
StartFastLaneConfirm,Are you sure you want to start SelfServ Checkout?
StartRAPConfirm,Are you sure you want to start RAP?
StartScanning,Mulakan Pengimbasan
StartTitle,System Startup
StartTransactionAMButtonText,Mula & Assist
StartTransactionButtonText,Mula Transaksi
StartTransactionLeadthru,Select desired function.
StartTransactionTitle,Operator Assisted Functions
StopFastLaneConfirm,Are you sure you want to stop SelfServ Checkout?
StopRAPConfirm,Are you sure you want to stop RAP?
StopStartFastLaneBtnPrimaryTxt,Stop SelfServ Checkout
StopStartFastLaneBtnSecondaryTxt,Start SelfServ Checkout
StopStartRAPButtonPrimaryTxt,Stop RAP
StopStartRAPButtonSecondaryTxt,Start RAP
StoreLogin,Simpan Log Masuk
SuspendConfirmationTitle,Suspend Confirmation
SuspendDeclinedLaneButtonText,Suspend Declined
SuspendInProgressText,Suspend in progress
SuspendLeadthru1,A request was made to suspend the current transaction. \nPlease confirm or cancel this request.
SuspendLeadthru2,"You have suspended the current transaction.  Please confirm this request.  To cancel, touch ""Kembali"" and cancel from NCR SelfServ Checkout Terminal."
SuspendNowButtonText,Suspend Now
SuspendReasonText1,Suspend: General
SuspendReasonText2,Suspend: Kupon-kupon
SuspendReasonText3,Suspend: Other
SuspendReasonText4,Suspend: Restricted
SuspendReasonText5,Suspend: Keselamatan
SuspendTransactionButtonText,Suspend Transaksi
SuspendTransactionLeadthru,"Touch ""Suspend Transaksi"" or ""Assist Mode"" and accept payment."
SwitchToFastLaneBtnPrimaryTxt,Switch To SelfServ Checkout
SwitchToRAPBtnPrimaryTxt,Switch To RAP
SystemStartup,System starting...Sila tunggu
TakeCardTitle,Ambil Kad
TakeCash,Ambil Wang Anda Yang Dikembalikan
TakeChange,Ambil Baki
