ClearButtonText,ล้าง
QuantityButtonText,ปริมาณ
FeesAndCustomerAgreementsTitle,ค่าบริการและข้อตกลงของลูกค้า:
FeesButtonText,ค่าบริการ
CustomerAgreementButtonText,ข้อตกลงของลูกค้า
FeesAndCustomerAgreementsLeadthru,ค่าบริการและข้อตกลงของลูกค้า
TransactionSuspendedText,Transaction Suspended
POSMessageText,ข้อความ POS:
ConnectingWaitingText,"โปรดรอ, connecting to NCR SelfServ Checkout..."
DateOfBirthNotNeededButtonText,ไม่ต้องใส่วันที่
AssistModeButtonText,โหมดช่วยเหลือ
ClearSecurityButtonText,ล้างการรักษาความปลอดภัย
VisualApproveButtonText,Visual Approve
CheckAgeTitle,"Check Customer's Age"
CouponLimitExceededTitle,คูปอง เกินขีดจำกัด
VerifyItemAndPriceTitle,ตรวจสอบสินค้า and Price
UnknownItemTitle,Unknown Item Set Aside
ItemNotForSaleTitle,Item Not For Sale
ItemQuantityExceededTitle,Item Quantity Exceeded
TimeRestrictedItemTitle,สินค้าที่จำกัดเวลา
CheckAgeLeadthru,"ใส่วันเกิด %s and touch ""ป้อน""."
InvalidBirthDateFormatLeadthru,Format of Date Entered is invalid \nEnter again in %s format.
CouponLimitExceededLeadthru,"Touch ""Approve"" to allow coupon deposit at lane or touch ""Approve & Collect"" and collect from customer."
VisualApproveLeadthru,"Touch ""Visual Approve"", or touch ""โหมดช่วยเหลือ"" to modify transaction."
UnknownItemLeadthru,"Collect item at lane and touch ""ล้างการรักษาความปลอดภัย"", or touch ""โหมดช่วยเหลือ"" to complete transaction."
ItemNotForSaleLeadthru,"Collect item at lane and touch ""ล้างการรักษาความปลอดภัย""."
OffLineLaneButtonText,Offline
ExitText,ออก
EnterDataLaneButtonText,ป้อน Data
AgeCheckLaneButtonText,ตรวจสอบอายุ
CouponLaneButtonText,คูปอง
VoidLaneButtonText,ยกเลิก
VerifyItemLaneButtonText,ตรวจสอบสินค้า
NotFoundLaneButtonText,ไม่พบ
NoSaleLaneButtonText,ไม่ใช่สำหรับขาย
QuantityLaneButtonText,ปริมาณ
HelpLaneButtonText,วิธีใช้
NoInterventionLeadthru,No Intervention is currently required.
OffLineLeadthru,ช่องจ่ายเงินออฟไลน์อยู่ในขณะนี้และระบบกำลังพยายามเชื่อมต่อใหม่
CancelRequestButtonText,ยกเลิกการร้องขอ
HelpRequestTitle,ร้องขอความช่วยเหลือแล้ว
SecurityLaneButtonText,ความปลอดภัย
VoidLeadthru,"เก็บสินค้าที่ยกเลิกที่ช่องจ่ายเงิน จากนั้นแตะที่ปุ่ม ""อนุมัติการยกเลิก"""
ApproveVoidButtonText,อนุมัติการยกเลิก
SecurityLeadthru,"Monitor customer transaction for security and touch ""ล้างการรักษาความปลอดภัย""."
SecurityViolationText,Security Violation
OtherPaymentText,"""วิธีชำระเงินอื่นๆ"" Selected"
SuspendTransactionLeadthru,"Touch ""ระงับธุรกรรม"" or ""โหมดช่วยเหลือ"" and accept payment."
EASText,สินค้า EAS ยังทำงานอยู่
DeactivateLeadthru,"ปิดใช้งานสินค้าหรือเอาป้ายแข็งที่ช่องจ่ายเงินออก แล้วแตะที่ปุ่ม ""ล้างการรักษาความปลอดภัย""."
CompareSignatureTitle,เปรียบเทียบลายมือชื่อ
CompareSignatureLeadthru,"Compare signatures and touch ""Approve"", or ""Sign Again""."
EnterPriceLeadthru,"Key in item's price and touch ""ป้อน""."
UtilityButtonText,ยูทิลิตี
ReturnToMainButtonText,Return to Main
GetDiagFilesButtonText,รับไฟล์วินิจฉัย
CouponApprovalLeadthru,"Accept coupons from customer at the approval station and touch ""Approve""."
RebootSystemButtonText,รีบูตทั้งระบบ
ShutDownSystemButtonText,ปิดการทำงานทั้งระบบ
LaneStatusTitle,ช่องจ่ายเงิน Status
LaneStatusLeadthru,Select function.
AgeRestrictedText,จำกัดอายุ รายการ; %2d ปี
BirthdateEnterText,"วันเกิดที่ป้อน:%2d/%2d/%4d,%d ปี"
HelpRequestLeadthru,"Touch ""ยกเลิกการร้องขอ"" after helping customer."
TotalText,รวม:
ItemText,รายการ:
MultimediaTrainingText,Multimedia Training
VolumeControlButtonText,ควบคุมเสียง
SecurityViolationNumText,Security Violations:
