AmountSaved,Amount Saved
ScotApp_1106,%s\t%s\tQty %s @ %s/each\t%s
ScotApp_1525,Please refer to the Device Manual to fix the error.
ScotApp_1493,Please refer to the Device Manual to fix the error.
ScotApp_1490,Please refer to the Device Manual to fix the error.
ScotApp_1315,* Open printer cover and check for paper jam.\n* Close printer cover and reload paper.
ScotApp_1881,"Check BagScale, remove extra items and touch ""Clear Security""."
ScotApp_1173,APPROVED VOIDED ITEM
ScotApp_1524,Please refer to the Device Manual to fix the error.
ScotApp_505,Incorrect Number
ScotApp_1302,Close
ScotApp_905, (More info on receipt...)
ScotApp_1164,Printer is not positioned correctly.
ScotApp_1492,Please refer to the Device Manual to fix the error.
ScotApp_1314,* Open printer cover and clear any paper debris.\n* Close cover.\n* Insert new paper roll.\n* Feed paper from top of roll into printer.
ScotApp_1817,"* Pull out coin recycler.\n* Open round side doors and clear coins from belts.\n* Ensure all doors are closed and locked properly.\n* Return coins to customer. If error recurs, call for service."
ScotApp_1442,"Insert Cash to replenish or touch ""Remove Cash"" to unload."
ScotApp_1880,Unexpected item on BagScale.
ScotApp_1172,CONFIRMED SUSPEND
ScotApp_1415,1415unused
ScotApp_788,Valid Birthday:%s
ScotApp_688,688unused
ScotApp_588,Device Factory loading...
ScotApp_488,Place Item On Scale: %s
ScotApp_388,Processing...
ScotApp_288,"Touch ""I corrected the problem"".\n* If the error remains, reboot terminal:\n* Turn Supervisor keylock to 'S' -OR press Supervisor button.\n* Select ""Shut Down Entire System"".\n* When screen blanks, turn off terminal at UPS or power strip.\n* Turn on terminal. If error recurs, call for service."
ScotApp_188,Options loading...
ScotApp_988,Unexpected item on belt. Remove item.
ScotApp_888,Unexpected item in bagging area.  Remove item.
ScotApp_1887,Review Transaction
ScotApp_1171,UNEXPECTED INCREASE
ScotApp_1199,ENTERED EXPIRATION DATE
ScotApp_1300,Start Transaction
ScotApp_1326,INSERT COUPON TIMER EXPIRED
ScotApp_1291,K - M
ScotApp_1517,Please refer to the Device Manual to fix the error.
ScotApp_1886,Check for extra items.
ScotApp_749,749unused
ScotApp_1529,Please refer to the Device Manual to fix the error.
ScotApp_549,549unused
ScotApp_449,Coin acceptor status rejected
ScotApp_349,349unused
ScotApp_249,249unused
ScotApp_149,Enter PIN
ScotApp_1307,Receipt printing
ScotApp_1738,Attendant to Verify Your Bags
ScotApp_949,949unused
ScotApp_717,717unused
ScotApp_617,"Select setting for weight comparison. (Compare item's weight to existing entries.)"
ScotApp_517,Other payment requested.
ScotApp_417,Hard Totals loaded.
ScotApp_317,317unused
ScotApp_217,217unused
ScotApp_117,Put Items Aside
ScotApp_1516,Please refer to the Device Manual to fix the error.
ScotApp_1885,Item not scanned
ScotApp_917,Too many requests to remove items from bagging area.  Max = %d.
ScotApp_817,Assistance Needed
ScotApp_1177,BAG ITEM TIMER EXPIRED
ScotApp_1528,Please refer to the Device Manual to fix the error.
ScotApp_1175,"DON'T BAG THRESHOLD EXCEEDED"
ScotApp_1109,%s\t%s\t%s @ %s/%s\t%s
ScotApp_1453,Cashier Password
ScotApp_1693,Coin Substitution
ScotApp_1515,Please refer to the Device Manual to fix the error.
ScotApp_7,7unused
ScotApp_6,6unused
ScotApp_5,5unused
ScotApp_4,4unused
ScotApp_3,3unused
ScotApp_2,kg
ScotApp_1,lb
ScotApp_1176,NEW ITEM ENTERED
ScotApp_1724,TRAINING MODE TRANSACTION
ScotApp_1019,Place On Belt
ScotApp_9,9unused
ScotApp_8,8unused
ScotApp_609,Edit Weight Tolerance
ScotApp_1305,%s inserted
ScotApp_1893,Invalid Barcode
ScotApp_1409,Assist Menu
ScotApp_1692,Supervisor Login
ScotApp_1163,"Touch ""I corrected the problem"".\n\nIf the error remains, reboot terminal:\nTurn Supervisor keylock to 'S' -OR press Supervisor button.\nSelect ""Shut Down Entire System"".\nWhen screen blanks, turn off terminal at UPS or power strip.\nTurn on terminal. If error recurs, call for service."
ScotApp_1514,Please refer to the Device Manual to fix the error.
ScotApp_1372,Coin Acceptor
ScotApp_1048,1048unused
ScotApp_967,967unused
ScotApp_1304,Loyalty card accepted.
ScotApp_1162,Device is offline.
ScotApp_1833,Exc_TB
ScotApp_1818,"* Unlock and pull out hopper tray to clear jam (I).\n* Return jammed coins to proper hopper bin(s). Then reinsert and lock hopper tray.\n* Pull out coin recycler. Then unlock and remove cover.\n* Disconnect cable shown (II).\n* Release red tab on right side of acceptor then pull it forward and turn it over to clear jams from areas shown (III).\n* Reinsert acceptor and reconnect cable.\n* Replace and lock cover. If error recurs, call for service."
ScotApp_1174,MISMATCHED WEIGHT
ScotApp_1500,Please refer to the Device Manual to fix the error.
ScotApp_1366,Scale
ScotApp_1161,Pager Error
ScotApp_1717,WO:
ScotApp_1832,Exc_DEPT
ScotApp_1370,Encryptor
ScotApp_669,Signature Printing Failed. Errors Occurred.
ScotApp_569,Key In Code
ScotApp_469,469unused
ScotApp_369,Printer comms error
ScotApp_269,Assist Mode
ScotApp_1507,Please refer to the Device Manual to fix the error.
ScotApp_969,969unused
ScotApp_737,737unused
ScotApp_637,"Security is offline, last action was cancelled."
ScotApp_537,537unused
ScotApp_437,Insufficient Balance
ScotApp_337,"Scan your item, or key in the code and touch ""OK""."
ScotApp_237,Insert the cassette until it is latched into position.\n\nPull on cassette handle to ensure latch is holding cassette in position.
ScotApp_137,Take Change
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s expected;LSWND3=%s %s observed;
ScotApp_1519,Please refer to the Device Manual to fix the error.
ScotApp_1831,Int
ScotApp_937,Limit\Remove Items
ScotApp_837,Fees
ScotApp_1702,*** DUPLICATE RECEIPT ***
ScotApp_1377,quantity
ScotApp_1728,Please select from popular items or look-up item alphabetically.
ScotApp_1395,Enter Attendant Mode
ScotApp_716,716unused
ScotApp_616,Weight Comparison
ScotApp_516,Other Payment
ScotApp_416,Hard Totals loading...
ScotApp_316,316unused
ScotApp_216,* Open printer cabinet door.\n* Open printer cover to check for jams.\n* Shut printer cover and reload paper.\n* A receipt with a Happy Face should print.\n* Close and lock printer cabinet door.
ScotApp_116,Cancel All Items
ScotApp_1522,Please refer to the Device Manual to fix the error.
ScotApp_1506,Please refer to the Device Manual to fix the error.
ScotApp_1879,"Check BagScale and touch ""Clear Security""."
ScotApp_916,"Check items at lane and touch ""Clear Security""."
ScotApp_816,816unused
ScotApp_1167,* Open printer cabinet door.\n* Unlatch and push printer back.\n* Open the printer cover to check for jams.\n* Shut the printer cover and reload paper.\n* Pull the printer carefully forward until it latches into position.
ScotApp_1518,Please refer to the Device Manual to fix the error.
ScotApp_1830, Entries   Approved
ScotApp_1376,", %s"
ScotApp_783,783unused
ScotApp_683,683unused
ScotApp_583,Card Declined.
ScotApp_483,Please sign signature pad using attached pen.
ScotApp_383,383unused
ScotApp_283,Enter Password
ScotApp_1505,Please refer to the Device Manual to fix the error.
ScotApp_983,Takeaway Belt loading...
ScotApp_883,Confirm Suspend
ScotApp_1363,Line Display
ScotApp_1714,APPROVED SUSPENSION DECLINE
ScotApp_1837,"Touch ""Approve"" to continue transaction."
ScotApp_1449,Note Status
ScotApp_1375,Post-Item Modification:\n%s
ScotApp_1248,GIFT CARD
ScotApp_1153,Paper jam.
ScotApp_1504,Please refer to the Device Manual to fix the error.
ScotApp_1362,Keylock
ScotApp_1836,INVALID BARCODE
ScotApp_1571,Confirm Ignore Change
ScotApp_1215,DEVICE ERROR
ScotApp_1858,Discrepancy error occurred in the recycler.
ScotApp_1152,Out of paper.
ScotApp_1700,"Failed to dispense %s. %s\nCheck coin and note dispensers.\nIf empty, refill them.\nIf not empty, clear jam. \nTouch ""Condition Corrected""."
ScotApp_1823,Digital Receipt was successfully generated.
ScotApp_1605,     Card Dispenser bin is empty
ScotApp_1361,Cash Changer
ScotApp_1835,Verify or Set Item aside
ScotApp_1878,Incorrect weight on BagScale.
ScotApp_1281,ASSISTED TENDER
ScotApp_1425,Connect
ScotApp_1570,Ignore Changes
ScotApp_814,814unused
ScotApp_291,"Coin dispenser tube jam\n%s\nRemove coin dispenser jam then touch ""Cleared Jam""."
ScotApp_191,Transaction Broker loaded.
ScotApp_1151,Printer cover is open.
ScotApp_1707,Coins are jammed in the acceptor
ScotApp_1822,See item weight at lower left of the screen
ScotApp_757,757unused
ScotApp_657,Put refund/discount aside until end of purchase.
ScotApp_557,Quantity Restricted Items
ScotApp_457,457unused
ScotApp_357,357unused
ScotApp_257,257unused
ScotApp_157,System Message
ScotApp_1360,Cash Drawer
ScotApp_1719,WA:
ScotApp_1834,Max
ScotApp_1868,Ensure your hands are out of the camera view of the scanner
ScotApp_957,DB Manager Client Failed to Communicate
ScotApp_857,Verify Assembly Fee
ScotApp_1064,1064unused
ScotApp_1577,Total Count:
ScotApp_736,736unused
ScotApp_636,Security is offline.
ScotApp_1091,1091unused
ScotApp_436,Confirm Amount
ScotApp_336,Look Up Item
ScotApp_236,236unused
ScotApp_136,Insert Cash
ScotApp_1509,Please refer to the Device Manual to fix the error.
ScotApp_1821,Accept Weight
ScotApp_936,Limit\Skip Bagging
ScotApp_836,Fees & Customer Agreements
ScotApp_1367,Scanner
ScotApp_1718,NOI:
ScotApp_1274,USERDEFINED16
ScotApp_715,715unused
ScotApp_615,Select setting for bagging enforcement. (Customer expected to bag item.)
ScotApp_515,515unused
ScotApp_315,315unused
ScotApp_215,Debit Savings
ScotApp_115,Confirm Cancel
ScotApp_1576,Cash Dispenser Status :
ScotApp_1090,Run Report
ScotApp_815,Open Register
ScotApp_1508,Please refer to the Device Manual to fix the error.
ScotApp_1406,Sync TB/POS
ScotApp_1099,Unknown Device Error
ScotApp_1563,Load
ScotApp_782,Note dispenser jam\nRemove note dispenser jam or\nAdjust purge bin.
ScotApp_682,682unused
ScotApp_582,Tender Complete.
ScotApp_482,482unused
ScotApp_382,Unknown
ScotApp_282,Enter ID
ScotApp_1575,Coin Dispenser Status :
ScotApp_1097,Print Records / Reports
ScotApp_1448,Coin Status
ScotApp_982,Device Error
ScotApp_143,Sign Receipt
ScotApp_1353,Please deposit your depleted gift card in the coupon slot.
ScotApp_1704,"Touch ""I corrected the problem"".\n\nIf the error remains, reboot terminal:\nTurn Supervisor keylock to 'S' -OR press Supervisor button.\nSelect ""Shut Down Entire System"".\nWhen screen blanks, turn off terminal at UPS or power strip.\nTurn on terminal. If error recurs, call for service."
ScotApp_1827,\n    - Current Language (%s)
ScotApp_1562,Count
ScotApp_1815,"* Unlock and pull out hopper tray.\n* Reinsert any missing hopper(s) and ensure all hoppers are seated properly.\n* Ensure lowest coin denomination hopper is inserted and seated properly.\n* Ensure proper currency hoppers are inserted. If error recurs, call for service."
ScotApp_1574,The value entered for %s is not valid. \nPlease enter again.
ScotApp_1543,Please refer to the Device Manual to fix the error.
ScotApp_1290,D - J
ScotApp_1096,Reporting
ScotApp_1352,Deposit Gift Card
ScotApp_1561,Denomination
ScotApp_1083,Item removed from bagging area.\nReturn item.
ScotApp_1753,Item Not Found
ScotApp_418,Hard Totals ending...
ScotApp_318,318unused
ScotApp_1813,"%s\n* Unlock and pull out hopper tray (I).\n* Remove jammed hopper bin(s). Check and clear any jams at exit area (II).\n* If no jam at exit area, empty hopper bin(s). Check and clear any jams by rotating disk (III).\n* Reinsert hopper bin(s).\n* Ensure all doors are closed and locked properly. If error recurs, call for service."
ScotApp_1095,"Select report type then touch ""Run Report""."
ScotApp_1351,%s\n%s %s removed 
ScotApp_1825,Save Preferences
ScotApp_777,777unused
ScotApp_677,677unused
ScotApp_577,Begin Cash Tender.
ScotApp_377,Units  -  Status
ScotApp_277,277unused
ScotApp_1560,Acceptor Total :  %s
ScotApp_1082,I removed item or bag
ScotApp_977,Actual weight: %s %s
ScotApp_877,Price Prompt
ScotApp_1777,The transaction was finalized using a coupon that exceeds the store coupon limit.
ScotApp_1812,Coins are jammed or coin bins are full or out.
ScotApp_756,756unused
ScotApp_556,Transaction suspension is declined.
ScotApp_456,456unused
ScotApp_356,Encryptor
ScotApp_256,User exits ending...
ScotApp_156,System Message
ScotApp_1231,VISUAL VERIFIED
ScotApp_1874,1874unused
ScotApp_956,"Shut down and restart terminal:\n\n* Turn Supervisor keylock to 'S' -OR- press Supervisor button.\n* Select ""Run ADD on Next Reboot"".  Select “Yes” to confirm.\n* Select ""Shut Down Entire System"".\n* When screen blanks, turn off terminal at UPS or power strip.\n* Turn on terminal. Check event viewer. If error recurs, call for service."
ScotApp_856,Receipt:
ScotApp_1567,Dispenser Total :  %s
ScotApp_735,735unused
ScotApp_635,Key in birth date
ScotApp_535,   Time Recalled
ScotApp_335,Card reader possible customer tampering
ScotApp_235,Cash acceptor status near full
ScotApp_135,135unused
ScotApp_1776,Store Authorization
ScotApp_1811,"* Pull out coin recycler.\n* Clear jam from area shown by removing coins or pushing coins forward.\n* Return coins to customer. If error recurs, call for service."
ScotApp_935,Weight Decrease
ScotApp_835,Receipt:
ScotApp_1708,"Press the coin return button several times to clear the coin jam, then touch ""I corrected the problem"".\n\nIf error recurs, call for service."
ScotApp_1168,Printer not latched in forward postion.
ScotApp_1446,Unload
ScotApp_1566,Full Replacement
ScotApp_1080,Put item on belt.
ScotApp_1775,Approve Coupon
ScotApp_1810,Coins are jammed.
ScotApp_1297,TAKE CHANGE TIMER EXPIRED
ScotApp_1648,(mmddyy)
ScotApp_708,708unused
ScotApp_608,Set Weight Comparison
ScotApp_508,508unused
ScotApp_408,408unused
ScotApp_308,cent
ScotApp_208,208unused
ScotApp_108,Unmatched Coupon
ScotApp_781,781unused
ScotApp_681,Select From Favourites
ScotApp_581,Transaction suspension is declined
ScotApp_481,Assistance Needed
ScotApp_381,Normal
ScotApp_908,Security
ScotApp_521,Amount Refunded:
ScotApp_1087,Card Accepted. Scan your items and coupons.
ScotApp_981,981unused
ScotApp_881,Suspend:
ScotApp_1774,COUPON TOO HIGH
ScotApp_1296,Refill all coin containers to optimum service levels.
ScotApp_1583,currency is low (%s)
ScotApp_1552,bin is full
ScotApp_1295,T - Z
ScotApp_1877,Theft Alert
ScotApp_1761,Coupon bin may be full or coupon slot is blocked. Remove any items blocking the coupon slot then empty coupon bin.
ScotApp_1086,"""Add Zero Weight"" deletes all weight entries."
ScotApp_693,693unused
ScotApp_794,Note dispenser cassette jam\nRemove note dispenser jam.
ScotApp_694,694unused
ScotApp_594,NCR SelfServ Checkout SigCap loaded.
ScotApp_494,Select cash back amount from list.
ScotApp_394,394unused
ScotApp_1098,"* Open printer cabinet door.\n* Check for paper jam in area shown.\n* If no paper jam is found, reload paper.\n* A receipt with a Happy Face should print.\n* Close and lock printer cabinet door."
ScotApp_1551,currency is high  (%s)
ScotApp_994,Closed
ScotApp_894,DBM loaded.
ScotApp_1760,Coupon bin may be full or coupon slot is blocked. Remove any items blocking the coupon slot then empty coupon bin.
ScotApp_1371,Cash Acceptor
ScotApp_1803,Accept Cash Only
ScotApp_1359,Slip Printer
ScotApp_1085,Collect Coupons
ScotApp_21,21unused
ScotApp_776,776unused
ScotApp_676,Coin Dispenser: Refilled on %s at %s
ScotApp_1491,Please refer to the Device Manual to fix the error.
ScotApp_476,Coupon Dropoff
ScotApp_376,376unused
ScotApp_276,276unused
ScotApp_176,Do you want to stop checking out and cancel your entire purchase?
ScotApp_976,976unused
ScotApp_876,"Key in Head Cashier ID and touch ""Enter""."
ScotApp_1271,USERDEFINED13
ScotApp_1767,Failure to access scale weight parameters.
ScotApp_755,Processing...
ScotApp_655,Exception Item
ScotApp_1084,Collection
ScotApp_455,455unused
ScotApp_355,Select system function
ScotApp_255,255unused
ScotApp_155,System Message
ScotApp_1011,Transporting...
ScotApp_869,"Key in the Authorisation # and touch ""Enter""."
ScotApp_955,Smart Scale Enable Failed
ScotApp_855,Assembly Fee:
ScotApp_23,+ %s (%s)
ScotApp_1766,Scanner/Scale Error.
ScotApp_1280,CASH
ScotApp_1335,Lane Closed
ScotApp_1497,Please refer to the Device Manual to fix the error.
ScotApp_728,728unused
ScotApp_628,Lane #: %d
ScotApp_528,528unused
ScotApp_428,Yellow
ScotApp_328,"Failed to dispense %s to customer. \n* Check coin and note dispensers.\n* If empty, refill them.\n* If not empty, clear jam.\n* Touch ""I corrected the problem""."
ScotApp_228,Card reader shutter jammed close
ScotApp_128,128unused
ScotApp_1690,Please call for Service
ScotApp_281,281unused
ScotApp_181,"\nUse keypad to enter the coupon's value in cents and touch ""OK""."
ScotApp_928,Go to lane and check device.
ScotApp_828,828unused
ScotApp_1033,"Deactivate item or remove hard tag at the lane and touch ""Clear Security""."
ScotApp_1496,Please refer to the Device Manual to fix the error.
ScotApp_680,680unused
ScotApp_580,Attempted to void item before its coupon was voided.
ScotApp_380,380unused
ScotApp_280,Clear Security Log
ScotApp_180,Put coupons aside. Deposit them at end of purchase.
ScotApp_1364,Micr
ScotApp_980,Timer expired with no customer response
ScotApp_880,880unused
ScotApp_970,970unused
ScotApp_1104,e=d=0.01 lb Max 30.00 lb min 0.2 lb Nmax 3000
ScotApp_1032,EAS Item still active.
ScotApp_1286,NZ English
ScotApp_1462,Bins
ScotApp_1298,Operator Assisted Functions
ScotApp_1031,Scan your coupons.
ScotApp_1482,Please refer to the Device Manual to fix the error.
ScotApp_1706,"Device is not ready. Close any other application that may be accessing the device and touch ""I corrected the problem"". If error recurs, call Gunnebo for service."
ScotApp_1399, Attendant
ScotApp_1494,Please refer to the Device Manual to fix the error.
ScotApp_1672,Coin Recycler Error
ScotApp_573,"Key in your user ID and touch ""Enter""."
ScotApp_173,173unused
ScotApp_775,Welcome to NCR SelfServ Checkout! Happy shopping!
ScotApp_675,Coin Dispenser Refilled
ScotApp_1481,Please refer to the Device Manual to fix the error.
ScotApp_79,79unused
ScotApp_69,69unused
ScotApp_59,Try Again
ScotApp_39,Transaction Cancel
ScotApp_29,Restricted Items
ScotApp_19,Tax
ScotApp_975,975unused
ScotApp_603,Edit/Add Weight Entry
ScotApp_99,Quantity To Void
ScotApp_89,89unused
ScotApp_303,Cancel Items
ScotApp_203,203unused
ScotApp_103,"Key in item's code."
ScotApp_1889,Security Trust Level
ScotApp_1443,"Insert Coin to replenish or touch ""Remove Cash"" to unload."
ScotApp_903,Item removed from bagging area.
ScotApp_803,803unused
ScotApp_1555,Dispenser
ScotApp_1037,Signature
ScotApp_1480,Please refer to the Device Manual to fix the error.
ScotApp_1263,USERDEFINED5
ScotApp_1697,Cleared Jam
ScotApp_748,748unused
ScotApp_648,UPC
ScotApp_548,548unused
ScotApp_448,Your frequent shopper account has been activated.
ScotApp_348,348unused
ScotApp_248,248unused
ScotApp_148,148unused
ScotApp_1479,Please refer to the Device Manual to fix the error.
ScotApp_948,\n* Remote Assistance
ScotApp_848,Quantity Needed:
ScotApp_485,Signature Needed
ScotApp_1036,EAS Item Active
ScotApp_1487,Please refer to the Device Manual to fix the error.
ScotApp_1499,Please refer to the Device Manual to fix the error.
ScotApp_1023,1023unused
ScotApp_1179,WALK AWAY TIMER EXPIRED
ScotApp_1035,EAS Item Active
ScotApp_1682,General Note Reader Unit Error
ScotApp_1486,Please refer to the Device Manual to fix the error.
ScotApp_1144,Dispenser not responding.
ScotApp_866,Yes
ScotApp_1498,Please refer to the Device Manual to fix the error.
ScotApp_1384,Language
ScotApp_1743,"Key in your user ID and touch ""Enter"", or place your finger on the fingerprint reader to log in."
ScotApp_1319,VOUCHER
ScotApp_1178,DONE REMOVING THRESHOLD EXCEEDED
ScotApp_1001,Item not found
ScotApp_1034,1034unused
ScotApp_1485,Please refer to the Device Manual to fix the error.
ScotApp_1068,1068unused
ScotApp_1694,"Substitution is used because %sTouch ""Cash/Paper Status"" to refill or clear jam."
ScotApp_1165,Pull the printer carefully forward until it latches into position.\n\nClose and lock printer cabinet door.
ScotApp_1021,Attention
ScotApp_1230,NEGATIVE DEPT
ScotApp_1484,Please refer to the Device Manual to fix the error.
ScotApp_912,Approve & Update Weight
ScotApp_723,723unused
ScotApp_623,"Enter tolerance using keypad and touch ""Enter""."
ScotApp_523,Card Declined
ScotApp_423,Insert card. Please check basket for additional items.
ScotApp_323,  Qty %d @ %d/%s
ScotApp_223,Card reader capture bin full
ScotApp_123,123unused
ScotApp_1020,Scan Items
ScotApp_923,923unused
ScotApp_823,Void Approval
ScotApp_1483,Please refer to the Device Manual to fix the error.
ScotApp_1237,COUPON
ScotApp_1680,Unrecoverable Error.  Please close the Lane.  Call Gunnebo and provide the error information shown below.\n\nSafePay Error: %s
ScotApp_702,702unused
ScotApp_602,Edit/Add\nWeight Entry
ScotApp_502,Put cancelled item aside.
ScotApp_402,Not Present
ScotApp_302,Please enter your PIN on the payment device.
ScotApp_202,Testing sign off...
ScotApp_102,Recalled Item
ScotApp_1722,"Lane is in training mode, continue with the transaction?"
ScotApp_902,Item removed from bagging area.  Return item.
ScotApp_802,"\nPurchase a full crate\nof %s?\n\nSelect ""Yes"" or ""No""."
ScotApp_568,Clear
ScotApp_468,   Recalled
ScotApp_368,Printer paper not loaded jam
ScotApp_268,Card Mis-Read
ScotApp_1027,"Touch ""Yes"" to cancel transaction or touch ""No"" to resume transaction."
ScotApp_1354,Collect Gift Card
ScotApp_968,968unused
ScotApp_868,Authorisation Number Entry:
ScotApp_1433,on bag scale.
ScotApp_1687,"Use ""Cash/Paper Status"" screen to load cash."
ScotApp_1150,Printer cabinet door is open.
ScotApp_1699,"Substitution is used because %sRefill or clear jam, then touch ""Condition Corrected""."
ScotApp_1259,USERDEFINED1
ScotApp_1223,CASH / PAPER SHORTAGE
ScotApp_1379,unit price
ScotApp_1432,<<<Low notes. Please refill.>>>
ScotApp_1686,Unrecoverable Error.  Please close the Lane.  Call Gunnebo and provide the error information shown below.\n\nSafePay Error: %s
ScotApp_1157,Note dispenser door may be open.\n\nNote dispenser will not operate with access door open.\n\nClose and latch dispenser door or safe door fully.
ScotApp_1013,Backed Up Items
ScotApp_1184,MORE DATA
ScotApp_1848,"Item deleted. Scan next item or touch ""Key In code""."
ScotApp_1169,Open printer cabinet door.\n* Pull the printer carefully forward until it latches into position.\n* Close and lock printer cabinet door.
ScotApp_1662,Other Receipts
ScotApp_1311,* Remove note acceptor.\n* Open acceptor module.\n* Check for jam then replace module.\n* Check that note acceptor motor turns on and LED light is green.
ScotApp_1025,Remove all items from belt and close safety cover.
ScotApp_1378,weight
ScotApp_22,No\nCash\nBack\n+ 0          \n(%s)
ScotApp_1234,QUANTITY RESTRICTED
ScotApp_1685,General Coin Unit Error
ScotApp_1156,Check that coin dispenser power switch is on.
ScotApp_1012,Your item is being transported.
ScotApp_1365,MSR
ScotApp_1235,EAS ITEM ACTIVE
ScotApp_1221,AUDACTION
ScotApp_1143,Coins are low or the coin container is not present.
ScotApp_434,Benefit Type
ScotApp_1625,"Insert coins to replenish or touch ""Remove Coins"" to unload."
ScotApp_1430,Void Item
ScotApp_1684,Coin Recycler Error
ScotApp_1155,Device is offline.
ScotApp_834,Fees && Customer Agreements:
ScotApp_799,Check Basket
ScotApp_699,Unsellable Item
ScotApp_599,Resetting Forms Device...
ScotApp_499,499unused
ScotApp_399,399unused
ScotApp_299,299unused
ScotApp_199,User Exits loaded.
ScotApp_743,743unused
ScotApp_643,Item deleted. Scan next item.
ScotApp_543,Operator ID cannot be greater than %d digits.
ScotApp_343,343unused
ScotApp_243,Card reader invalid card
ScotApp_999,Limit exceeded
ScotApp_899,Approve Void for
ScotApp_1220,EFT
ScotApp_1142,Coin Dispenser Error
ScotApp_943,"I'm using my own bag"
ScotApp_843,843unused
ScotApp_1437,"""Item Removed"" threshold exceeded"
ScotApp_1601,     Card Dispenser bin is low
ScotApp_722,722unused
ScotApp_622,Edit Tolerance for UPC
ScotApp_522,Wrong PIN
ScotApp_422,422unused
ScotApp_322,322unused
ScotApp_222,"Printer request sequence: Check printer or event viewer for errors, then touch ""I corrected the problem""."
ScotApp_122,122unused
ScotApp_1010,1010unused
ScotApp_922,922unused
ScotApp_822,Approve Voided Item
ScotApp_1715,SuspensionDecline Approval
ScotApp_1227,TIME RESTRICTED
ScotApp_701,701unused
ScotApp_601,601unused
ScotApp_401,Insert card. Please check basket for additional items.
ScotApp_301,Enter Coupon Value
ScotApp_201,Testing sign on...
ScotApp_101,Unknown Price
ScotApp_1633,Note Recycler Error
ScotApp_901,Approval to skip bagging.
ScotApp_801,Purchase Crate
ScotApp_1824,Digital Receipt was not generated.
ScotApp_1328,Double Weight
ScotApp_1299,Start Transaction and Enter Assist Mode
ScotApp_1226,RECALLED ITEM
ScotApp_1140,Jam in note dispenser.
ScotApp_1579,Note Acceptor
ScotApp_1426,%s\nIs %d correct?
ScotApp_1632,"Remove Note Cover. Check cable to Note Validator and Retry.  If error recurs, call for Service.\n\nSafePay Error: %s"
ScotApp_1141,Failed to dispense %s. CAUTION: Note may be jammed in top of note dispenser.
ScotApp_1791,Cash Only
ScotApp_1357,Collect Gift Card
ScotApp_763,763unused
ScotApp_714,714unused
ScotApp_614,Bagging Enforcement
ScotApp_514,514unused
ScotApp_314,bin problem
ScotApp_214,Debit Current
ScotApp_114,Cannot Cancel Item
ScotApp_1369,Misc
ScotApp_78,ATM (No Cash)
ScotApp_1630,Note Recycler Error
ScotApp_58,OK
ScotApp_48,48unused
ScotApp_914,"Go to lane, remove extra items and touch ""Clear Security""."
ScotApp_1422,Handheld Scanner
ScotApp_18,Total
ScotApp_1147,Security Scale Error
ScotApp_1578,Total Value:
ScotApp_1022,"I don't want to\nbag this item"
ScotApp_98,98unused
ScotApp_88,88unused
ScotApp_1003,Time restricted
ScotApp_1434,Age Restricted
ScotApp_1356,Collect
ScotApp_1212,OTHER
ScotApp_1455,Invalid Number
ScotApp_1713,Touch Approve for Suspension Decline
ScotApp_1565,Enter Load Value for %s
ScotApp_194,Device Manager loading...
ScotApp_1275,USERDEFINED17
ScotApp_1146,Acceptor not responding.
ScotApp_1303,Loyalty card accepted: #%s
ScotApp_70,70unused
ScotApp_60,Call For Help
ScotApp_50,50unused
ScotApp_40,Store Authorisation
ScotApp_30,Voided Items
ScotApp_20,20unused
ScotApp_10,10unused
ScotApp_1779,"Cannot void item until its coupon is voided. Void item's coupon first."
ScotApp_1211,DEFAULT
ScotApp_90,90unused
ScotApp_80,80unused
ScotApp_663,PIN Entry Failure
ScotApp_463,Remote Approval ending...
ScotApp_363,\nUse keypad to enter operator password.
ScotApp_163,163unused
ScotApp_1420,Cancel item\n%s?
ScotApp_1145,Coin Acceptor Error
ScotApp_963,Cancel Request
ScotApp_863,Coupon Value Entry
ScotApp_1816,Coins are jammed or door is open.
ScotApp_1637,Cable Problem
ScotApp_742,742unused
ScotApp_642,Item added. Scan next item.
ScotApp_542,Cannot create operator barcode.
ScotApp_342,Type Description
ScotApp_242,Card reader card jam
ScotApp_142,Confirm Amount
ScotApp_1210,LAST VIEW
ScotApp_942,942unused
ScotApp_842,842unused
ScotApp_1044,Operator Assisted Tender
ScotApp_1427,Change quantity for item: \n%s
ScotApp_721,721unused
ScotApp_621,Default
ScotApp_1341,Volume Control
ScotApp_421,"Scan your items, or touch ""Start"" to begin."
ScotApp_321,Transaction Verification
ScotApp_221,Close and lock printer cabinet door.
ScotApp_121,items from this checkstand.
ScotApp_1636,Coin Recycler Error
ScotApp_921,Weight expected on security scale.
ScotApp_821,821unused
ScotApp_600,Security Maintenance
ScotApp_500,500unused
ScotApp_400,400unused
ScotApp_1368,Sigcap
ScotApp_200,Testing Transaction Broker...
ScotApp_100,Quantity Needed
ScotApp_1076,Attention
ScotApp_1623,Transfer Notes to Cassette for Pickup
ScotApp_1340,Shut Down Entire System
ScotApp_1108,%s\t%s\t%s @ %s %s/%s\t%s
ScotApp_1814,Hopper bin is out or unseated.
ScotApp_1758,Coupon Bin Error
