AmountSaved,Amount Saved
CouponTooHighTitle,Coupon Too High
CrateableItemTitle,Purchase Crate
EnterCouponValueTitle,Enter Coupon Value
EnterQuantityLeadthru,"Key in the quantity and touch ""Enter""."
EnterWeightTitle,Weigh Item
EnterWeightLeadthru,Go to the lane and place item on scale.
AMItemQuantityExceededTitle,Quantity Limit
ProcessingTitle,Processing...
SelectContainerTitle,Select Container
SelectContainerLeadthru,"Select container from list and touch ""Enter""."
VoidNoMatchTitle,Cannot Cancel Item
ConfirmAbortTitle,Cancel All Items
ContinueTransTitle,Continue?
ScaleBrokenTitle,Reset Scale
ScaleBrokenLeadthru,"Remove item from scale, and press ""Scale Zero"" button on scanner."
UpdateNotAllowedTitle,Cannot Update Item
UpdateNotAllowedLeadthru,Quantity change for weighed item is not allowed.
SmEnterBirthdateTitle,Restricted Items
SmEnterBirthdateLeadthru,"Key in customer's birth date"
SmVisualItemsTitle,Visual Validations
SmVisualItemsLeadthru,Approve Visual Validation Items
SmCouponItemsTitle,Approve Used Coupons
SmCouponItemsLeadthru,Check used coupons
SmRestrictedItemsTitle,Restricted Items
SmRestrictedItemsLeadthru,Select desired function.
KeyInBirthDateButtonText,Key in date
KeyInCodeButtonText,Key In \nCode
SmRunReportsTitle,Report Content
PrintReportButtonText,Print Report
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,Restricted Item
AM_RestrictedNotAllowedLeadthru,Restricted item has been cancelled - age limit not met. \n\nPlease put item aside.
TransactionCancelTitle,Transaction Cancel
TransactionCancelLeadThru,Transaction cancelled. Remove items from \ncheckstand.
OutOfSyncNeedAssistTitle,ASSIST
OutOfSyncNeedAssistLeadthru,"POS is out-of-sync, please go to Assist Mode to resynchronize."
OutOfSyncStopTitle,REBOOT
OutOfSyncStopLeadthru,"POS server is down or out-of-sync, please shutdown the terminal using switch."
MultiPackItemTitle,Check for multi-pack
MultiPackItemLeadthru,"If item is a multi-pack, touch ""Assist Mode"" and void it, then scan multi-pack barcode."
CancelActionButtonText,Cancel Action
EnterIDFpLeadthru,"Key in your user ID and touch ""Enter"", or place your finger on the fingerprint reader to log in."
ReEnterIDFpLeadthru,Invalid login. Please login again using the keypad or your fingerprint.
HH_SuspendLeadthru1,Suspend current transaction? Confirm or Cancel.
HH_SuspendLeadthru2,"Current transaction suspended. Confirm. To cancel, touch ""Go Back"" and cancel."
HH_ReEnterIDLeadthru,Incorrect ID or password. Please re-enter on keypad.
HH_CheckAgeLeadthru,"Key in birth date %s and touch ""Enter""."
HH_CouponLimitExceededLeadthru,"""Approve"" for coupons at lane or ""Approve & Collect"" to collect from customer."
HH_VisualApproveLeadthru,"""Visual Approve"", or ""Assist Mode"" to modify transaction."
HH_VisualApproveLeadthru2,"""Visual Approve"", or ""Assist Mode"" at Lane to modify."
HH_UnknownItemLeadthru,"Collect item, ""Clear Security"", or ""Assist Mode"" to complete."
HH_UnknownItemLeadthru2,"Collect item, ""Clear Security"", or use ""Assist Mode"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"Collect item at lane and ""Clear Security""."
HH_NoInterventionLeadthru,No Intervention is required.
HH_OffLineLeadthru,Lane is offline. System attempting to reconnect.
HH_InvalidBirthDateFormatLeadthru,Date format is invalid \nEnter in %s format.
HH_VoidLeadthru,"Collect voided item and ""Approve Void""."
HH_SuspendTransactionLeadthru,"Touch ""Suspend Trans"" to suspend transaction."
HH_DeactivateLeadthru,"Deactivate item or remove hard tag and ""Clear Security""."
HH_CompareSignatureLeadthru,"Compare signatures and ""Approve"", or ""Sign Again""."
HH_EnterPriceLeadthru,"Key in item's price and ""Enter""."
HH_CouponApprovalLeadthru,"Accept coupons from customer and ""Approve""."
HH_HelpRequestLeadthru,"""Cancel Request"" after helping customer."
HH_CancelTransactionGenericLeadthru,"""Yes"" to cancel transaction or ""No"" to resume."
HH_IncorrectItemWeightLeadthru,"Remove item and ""Clear Security"", or ""Approve & Update Weight""."
HH_UnexpectedIncreaseLeadthru,"Remove extra items at lane and ""Clear Security""."
HH_SkipBaggingBtnThresholdLeadthru,"Check items at lane and ""Clear Security""."
HH_NewWeightItemLeadthru,"Verify weight and ""Approve & Update Weight"", or ""Approve/No Update""."
HH_SafetyCoverOpenLeadthru,Remove all items from belt. Close safety cover.
HH_VerifySignatureLeadthru,"Compare customer's signature with one on card."
HH_AssistedEndorsementLeadthru,Endorsement Needed. Wait for operator assistance.
HH_HostOfflineLeadthru,Lane is offline. System attempting to reconnect.
HH_KeyInCodeLeadthru,"Key in the item's code and ""Enter""."
HH_VoidItemLeadthru,"Scan or scroll to item on receipt. ""Void Item"" or ""Void All""."
HH_UpdateItemLeadthru,"Scroll to item on receipt and ""Enter""."
HH_CouponNoMatchLeadthru,Coupon does not match any item on receipt. Coupon not accepted.
HH_CouponTooHighLeadthru,Coupon amount too high. System cannot accept.
HH_ItemQuantityExceededLeadthru,Quantity allowed exceeded. \n\nPut item aside and continue.
HH_VoidNoMatchLeadthru,Cannot find scanned item. Item not purchased or was cancelled.
HH_ConfirmAbortLeadthru,Stop checking out and cancel entire purchase?
HH_ContinueTransLeadthru,Continue with your purchase?
HH_EnterQuantityLeadthru,"Key in the quantity and ""Enter""."
HH_SelectContainerLeadthru,"Select container from list and ""Enter""."
HH_ScaleBrokenLeadthru,"Remove item from scale and ""Scale Zero"" on scanner."
HH_UpdateNotAllowedLeadthru,Quantity change not allowed.
HH_AM_RestrictedNotAllowedLeadthru,Restricted item cancelled - age limit not met. Put item aside.
HH_OutOfSyncNeedAssistLeadthru,"POS out-of-sync, ""Assist Mode"" to resynchronize."
HH_OutOfSyncStopLeadthru,"POS server down or out-of-sync, shutdown terminal using switch."
HH_MultiPackItemLeadthru,"If multi-pack, ""Assist Mode"", void, then scan multi-pack barcode."
HH_ReturnToShoppingButtonText,Return
DoneButtonText,Done
ConfirmSuspendFromLaneStatusLeadthruText,Confirm or cancel suspend.
HH_SuspendTransactionButtonText,Suspend Trans
HH_TransactionCancelTitle,Transaction Cancel
HH_TransactionCancelLeadThru,Transaction cancelled. Remove items from checkstand.
ShiftButtonText,Shift
FixLaterButtonText,Fix Later
HopperLaneButtonText,Coin Substitution
HopperLeadThru,"%sGo to lane and refill coins or clear jam or touch ""Fix Later"" to continue"
TransactionCountText,Count:
SecurityDisableText,Security Disabled
SecurityDisableButtonOn,Turn On
SecurityDisableButtonOff,Turn Off
SecurityDisableStatusTextOn,Bagging Security is on
SecurityDisableStatusTextOff,Bagging Security is off
SuspendDeclinedLaneButtonText,Suspend Declined
ConfirmSuspendDeclinedLeadthru,Confirm or Cancel Suspension Decline.
ConfirmSuspendDeclinedButtonText,Confirm Decline
CancelSuspendDeclinedButtonText,Go Back
TMTransLeadthru,"Lane is in training mode,\ncontinue with the transaction?"
HH_TMTransLeadthru,"Lane is in training mode,\ncontinue with the transaction?"
TMTransLaneButtonText,Training Trx
DateFormat1,(mmddyyyy)
DateFormat2,(mmddyy)
DateFormat3,(ddmmyyyy)
DateFormat4,(ddmmyy)
DateFormat5,(yyyymmdd)
DateFormat6,(yymmdd)
GoBackCouponButtonText,Go Back
ApproveCouponButtonText,Approve Coupon
CouponExceededLimitLeadthru,"Touch ""Approve Coupon"" to accept the coupon or go to Assist Mode to void it."
CouponExceededLimitFinalizationLeadthru,The transaction was finalized using a coupon that exceeds the store coupon limit.
ClearSecurityFinalizationButtonText,Clear Security
ExpandReceiptButtonText,Expand Receipt
CollapseReceiptButtonText,Collapse Receipt
InvalidBarcodeLeadThru,"Collect item at lane and touch ""Approve"" to continue transaction."
InvalidBarcodeLaneButtonText,Verify Item
HH_InvalidBarcodeLeadThru,"Collect item, Touch ""Approve"" to continue transaction."
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
GoToLaneLeadthru, Please go to Lane for approval
DisableRapApprovalText, Disable RAP Approval
DisableHHRapApprovalText, Disable HHRAP Approval
UpdateItemButtonText,Update Item
SuspendConfirmationTitle,Suspend Confirmation
DoNotApproveButtonText,Do Not Approve
SmVoidAndRemoveItemLeadthru,Please remove the cancelled item from the bagging area.
RestrictedItemsNotApprovedTitle,Restricted Items - Not Approved
HH_AssistAtLaneLeadthru,Go to the Lane to void items.
XM_Acceptor,Acceptor
XM_CashStatus,Cash Status
XM_CashStatusLeadthru,Select desired function.
XM_CoinAcceptor,Coin Acceptor
XM_CoinOverflow,Coin Overflow
XM_CoinOverflowText,Overflow
XM_CoinRecycler,Coin Recycler
XM_Coins,Coins
XM_NoteOverflow,Note Overflow
XM_NoteOverflowText,Cash Box
XM_NoteRecycler,Note Recycler
XM_Notes,Notes
XM_PurgeOperationText,Purge Operations
XM_TerminalNumber,Terminal Number
XM_TotalCount,Total Count:
XM_TotalValue,Total Value:
XM_CoinsSubtotal,Coins Subtotal:
XM_NotesSubtotal,Notes Subtotal:
XM_GrandTotal,Grand Total:
XM_PurgeInstruction,Purge Operations:  Rejected notes detected. Go to lane and check device.
XM_RAP_NegativeAlert,Negative number found. Go to lane and check device.
XM_AreYouSure,Are you sure you want to perform the actions listed below?
XM_Attendant,Attendant
XM_Backspace,Backspace
XM_BillAcceptor,Note Acceptor
XM_BillDispenser,Note Dispenser
XM_Bins,Bins
XM_BothDispenseFailure,Failed to dispense %s.\nLow cash or dispenser in error.
XM_CancelChanges,Cancel Changes
XM_CannotCompleteTransfer,Cannot complete transfer.  The cash box\ndoes not have sufficient space.  Please empty the cash box before performing this operation.
XM_CashManagement,Cash Management
XM_CashManagementReport,Cash Management Report
XM_CashRemove,Remove Cash
XM_CashRemoveLeadthru,Select desired function.
XM_CashReplenishLeadthru,Select desired function.
XM_CashReplenishLeadthru1,Insert coins or select function.
XM_CashReplenishLeadthru2,Insert cash or select function.
XM_CashReplenishLeadthru3,"When complete, touch ""Exit""."
XM_CashReplenishment,Add Cash
XM_ChangeInCount,Change in Count
XM_ChangeInValue,Change in Value
XM_Clear,Clear
XM_ClearPrompt1,"When complete, select another function or ""Exit""."
XM_ClearPrompt2,"Select another function or ""Exit""."
XM_CoinAcceptorOffline,Coin acceptor not responding.\n\nShut down and restart terminal.
XM_CoinDispenseFailure,Failed to dispense %s.\nLow coins or coin dispenser in error.
XM_CoinDispenser,Coin Dispenser
XM_CoinManagement,Coin Management
XM_ConfirmAction,Confirm Actions
XM_ConfirmCoinDispense,* Dispense Coins\nAmount to dispense: %s\nCount to dispense: %d
XM_ConfirmEmptyCoinAcceptor,* Reset Coin Acceptor Counts to Zero\nAmount to remove:%s
XM_ConfirmEmptyCoinOverflow,* Reset Coin Overflow Counts to Zero\nAmount to remove:%s
XM_ConfirmEmptyNoteAcceptor,* Reset Note Acceptor Counts to Zero\nAmount to remove:%s
XM_ConfirmEmptyNoteOverflow,* Reset Cash Box Counts to Zero\nAmount to remove:%s
XM_ConfirmFillLoaderCassette,* Set Note Counts\nNew Amount: %s\nNew Count: %d
XM_ConfirmManualCoinEmpty,* Reset Coin Counts to Zero\nAmount to remove: %s\nCount to remove: %d
XM_ConfirmManualCoinFill,* Set Coin Counts\nNew Amount: %s\nNew Count: %d
XM_ConfirmManualNoteEmpty,* Reset Note Counts to Zero\nAmount to remove: %s\nCount to remove: %d
XM_ConfirmManualNoteFill,* Set Note Counts\nNew Amount: %s\nNew Count: %d
XM_ConfirmNoteDispense,* Dispense Notes\nAmount to dispense: %s\nCount to dispense: %d
XM_ConfirmTransferNotesToOverflow,* Transfer Notes to Cash Box\nAmount to transfer: %s\nCount to transfer: %d
XM_Count,Count
XM_DispenseCupFull,Coin return is full. Please remove the coins to finish dispensing.
XM_DispenseCupFullPreemptive,"Please Take Coins\nIf coin return is full, empty promptly.  Dispensing will pause until bowl is emptied."
XM_DispenseFullPreemptive,"Please Take Notes and Coins\nNotes are dispensed in bunches of 15. Dispensing will pause until all notes are taken. If coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_DispenseNoteFullPreemptive,Please Take Notes\n\nNotes are dispensed in bunches of %d.\nDispensing will pause until all notes are taken.
XM_DispenseSensorBlock,Coin return may be full or sensor is broken. Please remove coins or call for service.
XM_DispenseText,Dispense
XM_DispenseThreshold,Number entered exceeded count available to dispense. Maximum count was entered: %d
XM_Empty,Empty
XM_EmptyCashAcceptorLT,Remove notes from Cash Acceptor
XM_EmptyCashBoxLT,Remove notes from Cash Box
XM_EmptyCoinAcceptor,Reset Coin Acceptor
